#strain_name,accession,strain_taxon_id,seq_name
YJM451,CP006222,502869,XVI
YJM453,CP004422,1294311,I
YJM453,CP004626,1294311,II
YJM453,CP006343,1294311,III
YJM453,CP004672,1294311,IV
YJM453,CP004766,1294311,V
YJM453,CP004902,1294311,VI
YJM453,CP005206,1294311,VII
YJM453,CP006131,1294311,VIII
YJM453,CP004994,1294311,IX
YJM453,CP005126,1294311,X
YJM453,CP005303,1294311,XI
YJM453,CP006447,1294311,XII
YJM453,CP005404,1294311,XIII
YJM453,CP005506,1294311,XIV
YJM453,CP005600,1294311,XV
YJM453,CP006223,1294311,XVI
YJM456,CP004423,1294312,I
YJM456,CP004627,1294312,II
YJM456,CP006344,1294312,III
YJM456,CP004673,1294312,IV
YJM456,CP004767,1294312,V
YJM456,CP004903,1294312,VI
YJM456,CP005207,1294312,VII
YJM456,CP006132,1294312,VIII
YJM456,CP004995,1294312,IX
YJM456,CP005127,1294312,X
YJM456,CP005304,1294312,XI
YJM456,CP006448,1294312,XII
YJM456,CP005405,1294312,XIII
YJM456,CP005507,1294312,XIV
YJM456,CP005601,1294312,XV
YJM456,CP006224,1294312,XVI
YJM541,CP004425,1294314,I
YJM541,CP004629,1294314,II
YJM541,CP006346,1294314,III
YJM541,CP004675,1294314,IV
YJM541,CP004769,1294314,V
YJM541,CP004905,1294314,VI
YJM541,CP005209,1294314,VII
YJM541,CP006134,1294314,VIII
YJM541,CP004997,1294314,IX
YJM541,CP005129,1294314,X
YJM541,CP005306,1294314,XI
YJM541,CP006450,1294314,XII
YJM541,CP005407,1294314,XIII
YJM541,CP005509,1294314,XIV
YJM541,CP005603,1294314,XV
YJM541,CP006226,1294314,XVI
YJM555,CP004427,1294316,I
YJM555,CP004631,1294316,II
YJM555,CP006348,1294316,III
YJM555,CP004677,1294316,IV
YJM555,CP004771,1294316,V
YJM555,CP004907,1294316,VI
YJM555,CP005211,1294316,VII
YJM555,CP006136,1294316,VIII
YJM555,CP004999,1294316,IX
YJM555,CP005131,1294316,X
YJM555,CP005308,1294316,XI
YJM555,CP006452,1294316,XII
YJM555,CP005409,1294316,XIII
YJM555,CP005511,1294316,XIV
YJM555,CP005605,1294316,XV
YJM555,CP006228,1294316,XVI
YJM627,CP004428,1294317,I
YJM627,CP004632,1294317,II
YJM627,CP006349,1294317,III
YJM627,CP004678,1294317,IV
YJM627,CP004772,1294317,V
YJM627,CP004908,1294317,VI
YJM627,CP005212,1294317,VII
YJM627,CP006137,1294317,VIII
YJM627,CP005000,1294317,IX
YJM627,CP005132,1294317,X
YJM627,CP005309,1294317,XI
YJM627,CP006453,1294317,XII
YJM627,CP005410,1294317,XIII
YJM627,CP005512,1294317,XIV
YJM627,CP005606,1294317,XV
YJM627,CP006229,1294317,XVI
YJM681,CP004429,1294318,I
YJM681,CP004633,1294318,II
YJM681,CP006350,1294318,III
YJM681,CP004679,1294318,IV
YJM681,CP004773,1294318,V
YJM681,CP004909,1294318,VI
YJM681,CP005213,1294318,VII
YJM681,CP006138,1294318,VIII
YJM681,CP005001,1294318,IX
YJM681,CP005096,1294318,X
YJM681,CP005310,1294318,XI
YJM681,CP006454,1294318,XII
YJM681,CP005411,1294318,XIII
YJM681,CP005513,1294318,XIV
YJM681,CP005607,1294318,XV
YJM681,CP006230,1294318,XVI
YJM969,CP004434,1294323,I
YJM969,CP004593,1294323,II
YJM969,CP006355,1294323,III
YJM969,CP004684,1294323,IV
YJM969,CP004778,1294323,V
YJM969,CP004914,1294323,VI
YJM969,CP005218,1294323,VII
YJM969,CP006143,1294323,VIII
YJM969,CP005006,1294323,IX
YJM969,CP005101,1294323,X
YJM969,CP005315,1294323,XI
YJM969,CP006459,1294323,XII
YJM969,CP005416,1294323,XIII
YJM969,CP005518,1294323,XIV
YJM969,CP005612,1294323,XV
YJM969,CP006235,1294323,XVI
YJM972,CP004435,1294324,I
YJM972,CP004594,1294324,II
YJM972,CP006356,1294324,III
YJM972,CP004685,1294324,IV
YJM972,CP004779,1294324,V
YJM972,CP004915,1294324,VI
YJM972,CP005219,1294324,VII
YJM972,CP006144,1294324,VIII
YJM972,CP005007,1294324,IX
YJM972,CP005102,1294324,X
YJM972,CP005316,1294324,XI
YJM972,CP006460,1294324,XII
YJM972,CP005417,1294324,XIII
YJM972,CP005519,1294324,XIV
YJM972,CP005613,1294324,XV
YJM972,CP006236,1294324,XVI
YJM978,CP004437,1294326,I
YJM978,CP004596,1294326,II
YJM978,CP006358,1294326,III
YJM978,CP004687,1294326,IV
YJM978,CP004781,1294326,V
YJM978,CP004917,1294326,VI
YJM978,CP005221,1294326,VII
YJM978,CP006146,1294326,VIII
YJM978,CP005009,1294326,IX
YJM978,CP005104,1294326,X
YJM978,CP005318,1294326,XI
YJM978,CP006462,1294326,XII
YJM978,CP005419,1294326,XIII
YJM978,CP005521,1294326,XIV
YJM978,CP005615,1294326,XV
YJM978,CP006238,1294326,XVI
YJM981,CP004438,1294327,I
YJM981,CP004597,1294327,II
YJM981,CP006359,1294327,III
YJM981,CP004688,1294327,IV
YJM981,CP004782,1294327,V
YJM981,CP004918,1294327,VI
YJM981,CP005222,1294327,VII
YJM981,CP006147,1294327,VIII
YJM981,CP005010,1294327,IX
YJM981,CP005105,1294327,X
YJM981,CP005319,1294327,XI
YJM981,CP006463,1294327,XII
YJM981,CP005420,1294327,XIII
YJM981,CP005522,1294327,XIV
YJM981,CP005616,1294327,XV
YJM981,CP006239,1294327,XVI
YJM984,CP004439,1294328,I
YJM984,CP004598,1294328,II
YJM984,CP006360,1294328,III
YJM984,CP004689,1294328,IV
YJM984,CP004783,1294328,V
YJM984,CP004919,1294328,VI
YJM984,CP005223,1294328,VII
YJM984,CP006148,1294328,VIII
YJM984,CP005011,1294328,IX
YJM984,CP005106,1294328,X
YJM984,CP005320,1294328,XI
YJM984,CP006464,1294328,XII
YJM984,CP005421,1294328,XIII
YJM984,CP005523,1294328,XIV
YJM984,CP005617,1294328,XV
YJM984,CP006240,1294328,XVI
YJM996,CP004443,1294332,I
YJM996,CP004602,1294332,II
YJM996,CP006364,1294332,III
YJM996,CP004693,1294332,IV
YJM996,CP004787,1294332,V
YJM996,CP004923,1294332,VI
YJM996,CP005227,1294332,VII
YJM996,CP006152,1294332,VIII
YJM996,CP005015,1294332,IX
YJM996,CP005110,1294332,X
YJM996,CP005324,1294332,XI
YJM996,CP006468,1294332,XII
YJM996,CP005425,1294332,XIII
YJM996,CP005527,1294332,XIV
YJM996,CP005621,1294332,XV
YJM996,CP006244,1294332,XVI
YJM1190,CP004447,1294334,I
YJM1190,CP004606,1294334,II
YJM1190,CP006276,1294334,III
YJM1190,CP004697,1294334,IV
YJM1190,CP004791,1294334,V
YJM1190,CP004927,1294334,VI
YJM1190,CP005231,1294334,VII
YJM1190,CP006064,1294334,VIII
YJM1190,CP005019,1294334,IX
YJM1190,CP005133,1294334,X
YJM1190,CP005328,1294334,XI
YJM1190,CP006380,1294334,XII
YJM1190,CP005429,1294334,XIII
YJM1190,CP005531,1294334,XIV
YJM1190,CP005625,1294334,XV
YJM1190,CP006156,1294334,XVI
YJM1199,CP004448,1294335,I
YJM1199,CP004607,1294335,II
YJM1199,CP006277,1294335,III
YJM1199,CP004698,1294335,IV
YJM1199,CP004792,1294335,V
YJM1199,CP004928,1294335,VI
YJM1199,CP005232,1294335,VII
YJM1199,CP006065,1294335,VIII
YJM1199,CP005020,1294335,IX
YJM1199,CP005134,1294335,X
YJM1199,CP005329,1294335,XI
YJM1199,CP006381,1294335,XII
YJM1199,CP005430,1294335,XIII
YJM1199,CP005532,1294335,XIV
YJM1199,CP005626,1294335,XV
YJM1199,CP006157,1294335,XVI
YJM1202,CP004449,1294336,I
YJM1202,CP004608,1294336,II
YJM1202,CP006278,1294336,III
YJM1202,CP004699,1294336,IV
YJM1202,CP004793,1294336,V
YJM1202,CP004929,1294336,VI
YJM1202,CP005233,1294336,VII
YJM1202,CP006066,1294336,VIII
YJM1202,CP005021,1294336,IX
YJM1202,CP005135,1294336,X
YJM1202,CP005330,1294336,XI
YJM1202,CP006382,1294336,XII
YJM1202,CP005431,1294336,XIII
YJM1202,CP005533,1294336,XIV
YJM1202,CP005627,1294336,XV
YJM1202,CP006158,1294336,XVI
YJM1250,CP004454,1294341,I
YJM1250,CP004613,1294341,II
YJM1250,CP006283,1294341,III
YJM1250,CP004704,1294341,IV
YJM1250,CP004798,1294341,V
YJM1250,CP004934,1294341,VI
YJM1250,CP005238,1294341,VII
YJM1250,CP006071,1294341,VIII
YJM1250,CP005026,1294341,IX
YJM1250,CP005140,1294341,X
YJM1250,CP005335,1294341,XI
YJM1250,CP006387,1294341,XII
YJM1250,CP005436,1294341,XIII
YJM1250,CP005538,1294341,XIV
YJM1250,CP005632,1294341,XV
YJM1250,CP006163,1294341,XVI
YJM1311,CP004459,1294346,I
YJM1311,CP004641,1294346,II
YJM1311,CP006288,1294346,III
YJM1311,CP004709,1294346,IV
YJM1311,CP004804,1294346,V
YJM1311,CP004939,1294346,VI
YJM1311,CP005243,1294346,VII
YJM1311,CP006076,1294346,VIII
YJM1311,CP005032,1294346,IX
YJM1311,CP005145,1294346,X
YJM1311,CP005340,1294346,XI
YJM1311,CP006392,1294346,XII
YJM1311,CP005441,1294346,XIII
YJM1311,CP005543,1294346,XIV
YJM1311,CP005637,1294346,XV
YJM1311,CP006168,1294346,XVI
